Prediction x (m),Prediction y (m),EKF x (m),EKF y (m),Ground-Truth x (m),Ground-Truth y (m),Time (s),Error (m)
-0.25112,1.53787E-05,-0.250567,0.000154831,0.101974,-0.0269602,4.74935,0.353623
-0.251226,0.000015276,-0.250667,0.0001549,0.101974,-0.0269602,4.75666,0.353724
-0.251341,1.51637E-05,-0.250778,0.000154928,0.101974,-0.0269602,4.76466,0.353834
-0.251585,1.49268E-05,-0.251017,0.000154454,0.101974,-0.0269602,4.77221,0.354072
-0.251127,1.53724E-05,-0.250554,0.000156716,0.101974,-0.0269602,4.78111,0.35361
-0.251252,1.52507E-05,-0.250674,0.000156696,0.101974,-0.0269602,4.78911,0.35373
-0.251528,1.49836E-05,-0.250944,0.000156086,0.102274,-0.0269528,4.79735,0.354298
-0.251781,1.47376E-05,-0.251192,0.000155558,0.102274,-0.0269528,4.80489,0.354545
-0.250871,1.56223E-05,-0.250278,0.000159619,0.102274,-0.0269528,4.81274,0.353633
-0.251491,1.50213E-05,-0.250893,0.000157629,0.102274,-0.0269528,4.82067,0.354246
-0.251729,1.47903E-05,-0.251126,0.00015715,0.102274,-0.0269528,4.82777,0.354478
-0.252012,1.45148E-05,-0.251404,0.000156487,0.102274,-0.0269528,4.8361,0.354755
-0.25096,1.55392E-05,-0.250347,0.000161156,0.102274,-0.0269528,4.84509,0.353701
-0.251084,1.54195E-05,-0.250465,0.00016112,0.102274,-0.0269528,4.85372,0.353819
-0.251283,1.52262E-05,-0.250659,0.000160776,0.102505,-0.0269985,4.85986,0.354247
-0.250387,1.60958E-05,-0.249758,0.00016484,0.102505,-0.0269985,4.86748,0.353349
-0.249645,1.68141E-05,-0.249011,0.000168287,0.102505,-0.0269985,4.8737,0.352604
-0.24978,1.66842E-05,-0.24914,0.000168187,0.102505,-0.0269985,4.88313,0.352733
-0.250076,1.63986E-05,-0.249431,0.00016743,0.102505,-0.0269985,4.89147,0.353022
-0.249654,1.68062E-05,-0.249004,0.000169586,0.102505,-0.0269985,4.89948,0.352597
-0.249311,1.71366E-05,-0.248656,0.000171419,0.102505,-0.0269985,4.90602,0.35225
-0.249472,1.69817E-05,-0.248812,0.000171194,0.102505,-0.0269985,4.91644,0.352405
-0.249115,0.000017326,-0.248449,0.00017309,0.102505,-0.0269985,4.92295,0.352044
-0.248688,1.77367E-05,-0.248017,0.000175271,0.102715,-0.0269765,4.93097,0.35182
-0.248794,1.76351E-05,-0.248118,0.000175261,0.102715,-0.0269765,4.9376,0.35192
-0.249211,1.72346E-05,-0.248529,0.000173965,0.102715,-0.0269765,4.95025,0.35233
-0.248888,1.75455E-05,-0.248201,0.000175726,0.102715,-0.0269765,4.95729,0.352002
-0.249047,1.73921E-05,-0.248355,0.000175485,0.102715,-0.0269765,4.96679,0.352156
-0.249166,0.000017278,-0.248468,0.000175411,0.102715,-0.0269765,4.97387,0.352268
-0.24949,0.000016966,-0.248787,0.000174481,0.102715,-0.0269765,4.98363,0.352586
-0.248631,1.77945E-05,-0.247922,0.000178501,0.102715,-0.0269765,4.99083,0.351724
-0.248762,1.76686E-05,-0.248047,0.000178368,0.102893,-0.0269627,5.00005,0.352026
-0.249448,1.70092E-05,-0.248728,0.000175897,0.102893,-0.0269627,5.00726,0.352704
-0.25029,1.61974E-05,-0.249564,0.00017276,0.102893,-0.0269627,5.01653,0.353537
-0.249432,1.70268E-05,-0.248701,0.000176806,0.102893,-0.0269627,5.02377,0.352677
-0.249549,1.69142E-05,-0.248813,0.000176721,0.102893,-0.0269627,5.03156,0.352788
-0.249796,1.66759E-05,-0.249054,0.00017608,0.102893,-0.0269627,5.03891,0.353028
-0.249196,1.72555E-05,-0.248448,0.000179047,0.102893,-0.0269627,5.05062,0.352424
-0.249308,1.71468E-05,-0.248555,0.000178969,0.102893,-0.0269627,5.05804,0.352531
-0.249613,1.68538E-05,-0.248854,0.00017807,0.103003,-0.0269776,5.067,0.352938
-0.249864,1.66115E-05,-0.249099,0.000177395,0.103003,-0.0269776,5.07443,0.353183
-0.248813,1.76265E-05,-0.248042,0.000182319,0.103003,-0.0269776,5.08336,0.35213
-0.249561,1.69071E-05,-0.248785,0.000179491,0.103003,-0.0269776,5.09169,0.352869
-0.249885,1.65949E-05,-0.249103,0.000178489,0.103003,-0.0269776,5.10057,0.353186
-0.249134,1.73194E-05,-0.248347,0.000182137,0.103003,-0.0269776,5.10703,0.352433
-0.249906,1.65767E-05,-0.249112,0.000179181,0.103003,-0.0269776,5.1165,0.353195
-0.250482,1.60202E-05,-0.249683,0.000177066,0.103003,-0.0269776,5.12376,0.353764
-0.250823,0.00001569,-0.250018,0.000175971,0.103171,-0.0269946,5.13353,0.354266
-0.249931,0.000016555,-0.24912,0.000180271,0.103171,-0.0269946,5.14118,0.353371
-0.250095,1.63959E-05,-0.249279,0.000179937,0.103171,-0.0269946,5.15114,0.353529
-0.250534,1.59721E-05,-0.249711,0.000178398,0.103171,-0.0269946,5.15825,0.35396
-0.249459,1.70125E-05,-0.248631,0.000183518,0.103171,-0.0269946,5.16747,0.352883
-0.248604,1.78367E-05,-0.24777,0.000187669,0.103171,-0.0269946,5.17467,0.352025
-0.248724,1.77215E-05,-0.247884,0.000187513,0.103171,-0.0269946,5.1832,0.352139
-0.248959,1.74953E-05,-0.248113,0.000186843,0.103171,-0.0269946,5.18988,0.352367
